,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
1,4101 White Plains Road,0-30 Minutes,Last Reported Time: 8:07 AM,2020-12-23 13:37:39.075637
2,57 Cleveland Place,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
3,Bathgate Contract Post...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
4,Bay Ridge 5th Avenue,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
5,Beach 39th,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
6,Bellevue Hospital Cent...,More Than 2 Hours,Last Reported Time: 8:00 AM,2020-12-23 13:37:39.075637
7,Belvis Diagnostic & Tr...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
8,Bensonhurst 14th Avenue,1-1.5 Hours,Last Reported Time: 8:12 AM,2020-12-23 13:37:39.075637
9,Brooklyn Army Terminal,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
10,Canarsie Municipal Lot,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
12,Co-op City Retail Space,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
13,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
14,CU Jonathan Williams C...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
17,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
18,Edward Grant,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
19,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
20,EY East New York DTC,0-30 Minutes,Last Reported Time: 8:34 AM,2020-12-23 13:37:39.075637
21,Fort Hamilton,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
22,Gouverneur Healthcare,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
23,Greenbelt Recreational...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
24,Harlem Hospital Center,0-30 Minutes,Last Reported Time: 8:10 AM,2020-12-23 13:37:39.075637
25,Highbridge Pool,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
26,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
27,JFK Airport,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
28,Kew Gardens,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
29,Kings County Hospital ...,30-60 Minutes,Last Reported Time: 8:23 AM,2020-12-23 13:37:39.075637
30,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
31,Lefferts,1-1.5 Hours,Last Reported Time: 8:28 AM,2020-12-23 13:37:39.075637
32,Lincoln Medical Center,No Wait Time,Last Reported Time: 8:20 AM,2020-12-23 13:37:39.075637
33,Mariners Harbor Library,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
34,Metropolitan Hospital ...,1-1.5 Hours,Last Reported Time: 8:30 AM,2020-12-23 13:37:39.075637
35,Midwood,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
36,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
37,Mt. Loretto,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
38,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
39,Northern Boulevard,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
40,Old Broadway,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
41,Queens Hospital Center,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
42,Rain Boston Road Senio...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
43,Red Hook Recreational ...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
44,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
45,St. Albans,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
46,St. George Ferry Termi...,1-1.5 Hours,Last Reported Time: 8:17 AM,2020-12-23 13:37:39.075637
47,St. James Recreational...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
48,Starret City,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
49,SY Dyckman Lcdla,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
50,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
51,Sydenham,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
52,Sydenham Health Center,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
53,Tremont Community Heal...,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
54,Windsor Park Library,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
55,Woodhull Medical Center,Not Reported Yet,Last Reported Time:,2020-12-23 13:37:39.075637
