,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,No Wait Time*,Last Reported Time: 2:33 PM,2020-12-23 22:35:27.444942
1,4101 White Plains Road,0-30 Minutes,Last Reported Time: 4:05 PM,2020-12-23 22:35:27.444942
2,57 Cleveland Place,No Wait Time,Last Reported Time: 5:12 PM,2020-12-23 22:35:27.444942
3,Bathgate Contract Post...,Not Reported Yet,Last Reported Time:,2020-12-23 22:35:27.444942
4,Bay Ridge 5th Avenue,1.5-2 Hours,Last Reported Time: 4:02 PM,2020-12-23 22:35:27.444942
5,Beach 39th,0-30 Minutes,Last Reported Time: 5:00 PM,2020-12-23 22:35:27.444942
6,Bellevue Hospital Cent...,30-60 Minutes*,Last Reported Time: 2:02 PM,2020-12-23 22:35:27.444942
7,Belvis Diagnostic & Tr...,1-1.5 Hours*,Last Reported Time: 2:05 PM,2020-12-23 22:35:27.444942
8,Bensonhurst 14th Avenue,1-1.5 Hours*,Last Reported Time: 2:08 PM,2020-12-23 22:35:27.444942
9,Brooklyn Army Terminal,0-30 Minutes,Last Reported Time: 5:22 PM,2020-12-23 22:35:27.444942
10,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 4:04 PM,2020-12-23 22:35:27.444942
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2020-12-23 22:35:27.444942
12,Co-op City Retail Space,30-60 Minutes*,Last Reported Time: 3:32 PM,2020-12-23 22:35:27.444942
13,Coney Island Hospital ...,30-60 Minutes*,Last Reported Time: 10:20 AM,2020-12-23 22:35:27.444942
14,CU Jonathan Williams C...,0-30 Minutes*,Last Reported Time: 3:40 PM,2020-12-23 22:35:27.444942
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2020-12-23 22:35:27.444942
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2020-12-23 22:35:27.444942
17,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2020-12-23 22:35:27.444942
18,Edward Grant,1-1.5 Hours,Last Reported Time: 4:34 PM,2020-12-23 22:35:27.444942
19,Elmhurst Hospital Cent...,1-1.5 Hours*,Last Reported Time: 9:06 AM,2020-12-23 22:35:27.444942
20,EY East New York DTC,0-30 Minutes,Last Reported Time: 5:05 PM,2020-12-23 22:35:27.444942
21,Fort Hamilton,More Than 2 Hours,Last Reported Time: 4:27 PM,2020-12-23 22:35:27.444942
22,Gouverneur Healthcare,1.5-2 Hours*,Last Reported Time: 2:46 PM,2020-12-23 22:35:27.444942
23,Greenbelt Recreational...,More Than 2 Hours,Last Reported Time: 5:24 PM,2020-12-23 22:35:27.444942
24,Harlem Hospital Center,30-60 Minutes,Last Reported Time: 4:01 PM,2020-12-23 22:35:27.444942
25,Highbridge Pool,More Than 2 Hours,Last Reported Time: 4:38 PM,2020-12-23 22:35:27.444942
26,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2020-12-23 22:35:27.444942
