,Location,Wait,Time Window,Scrape Timestamp
0,No Wait Time,Bensonhurst 14th Avenue,Bathgate Contract Post...,2020-12-01 15:12:37.236173
1,Not Reported Yet,CU Woodside Houses CHC,Bathgate Contract Post...,2020-12-01 15:12:37.236173
2,Not Reported Yet,Harlem Hospital Center,Bathgate Contract Post...,2020-12-01 15:12:37.236173
3,Not Reported Yet,Lincoln Medical Center,Bathgate Contract Post...,2020-12-01 15:12:37.236173
4,< 60 Minutes,Old Broadway,Bathgate Contract Post...,2020-12-01 15:12:37.236173
5,Not Reported Yet,Starret City,Bathgate Contract Post...,2020-12-01 15:12:37.236173
6,No Wait Time,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
7,Brooklyn Army Terminal,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
8,Cumberland Dtc,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
9,Highbridge Pool,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
10,Mariners Harbor Library,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
11,Queens Hospital Center,< 90 Minutes,Bathgate Contract Post...,2020-12-01 15:12:37.236173
12,SY Dyckman Lcdla,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
13,Not Reported Yet,Canarsie Municipal Lot,Bathgate Contract Post...,2020-12-01 15:12:37.236173
14,Not Reported Yet,Edward Grant,Bathgate Contract Post...,2020-12-01 15:12:37.236173
15,Not Reported Yet,Jacobi Medical Center,Bathgate Contract Post...,2020-12-01 15:12:37.236173
16,Not Reported Yet,Metropolitan Hospital ...,Bathgate Contract Post...,2020-12-01 15:12:37.236173
17,Not Reported Yet,Rain Boston Road Senio...,Bathgate Contract Post...,2020-12-01 15:12:37.236173
18,Not Reported Yet,SY St. Nicholas Chc,Bathgate Contract Post...,2020-12-01 15:12:37.236173
19,Not Reported Yet,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
20,CI Ida G Israel Chc,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
21,Elmhurst Hospital Center,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
22,JFK Airport,< 30 Minutes,Bathgate Contract Post...,2020-12-01 15:12:37.236173
23,Midwood,< 60 Minutes,Bathgate Contract Post...,2020-12-01 15:12:37.236173
24,Red Hook Recreational ...,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
25,Sydenham,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
26,Not Reported Yet,Co-op City Retail Space,Bathgate Contract Post...,2020-12-01 15:12:37.236173
27,Not Reported Yet,EY East New York DTC,Bathgate Contract Post...,2020-12-01 15:12:37.236173
28,Not Reported Yet,Kew Gardens,Bathgate Contract Post...,2020-12-01 15:12:37.236173
29,Not Reported Yet,Morrisania Diagnos(cid:415)c ...,Bathgate Contract Post...,2020-12-01 15:12:37.236173
30,Not Reported Yet,Sorren(cid:415)no Recrea(cid:415)ona...,Bathgate Contract Post...,2020-12-01 15:12:37.236173
31,Not Reported Yet,Sydenham Health Center,Bathgate Contract Post...,2020-12-01 15:12:37.236173
32,Not Reported Yet,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
33,Coney Island Hospital ...,< 30 Minutes,Bathgate Contract Post...,2020-12-01 15:12:37.236173
34,Fort Hamilton,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
35,Kings County Hospital ...,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
36,Mt. Loretto,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
37,St. Albans,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
38,Tremont Community Heal...,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
39,< 90 Minutes,CU Jonathan Williams C...,Bathgate Contract Post...,2020-12-01 15:12:37.236173
40,Not Reported Yet,Gouverneur Healthcare,Bathgate Contract Post...,2020-12-01 15:12:37.236173
41,Not Reported Yet,LaGuardia Airport,Bathgate Contract Post...,2020-12-01 15:12:37.236173
42,Not Reported Yet,North Central Bronx Ho...,Bathgate Contract Post...,2020-12-01 15:12:37.236173
43,Not Reported Yet,St. George Ferry Termi...,Bathgate Contract Post...,2020-12-01 15:12:37.236173
44,< 30 Minutes,Windsor Park Library,Bathgate Contract Post...,2020-12-01 15:12:37.236173
45,Not Reported Yet,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
46,CU Vanderbilt,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
47,Greenbelt Recreational...,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
48,Leﬀerts,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
49,Northern Boulevard,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
50,St. James Recreational...,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
51,Woodhull Medical Center,Not Reported Yet,Bathgate Contract Post...,2020-12-01 15:12:37.236173
